,features,xgb01,xgb02,lgb01,lgb02,rfo01,rfo02,ext01,ext02,ada01,ada02,avg
0,txn_mean,0.05232558026909828,0.046875,28.0,10.0,0.0016371628790214407,0.004152711015762901,0.00957940501476973,0.018945354650782873,0.025974025974025976,0.015384615384615385,3.8174873855188074
1,txn_std,0.011627906933426857,0.0,18.0,6.0,0.0,0.001960650752844338,0.008793497867397632,0.019175779872065795,0.012987012987012988,0.015384615384615385,2.406992946379736
2,txn_max,0.01744186133146286,0.0,25.0,8.0,0.0,0.0,0.02238946357083476,0.025697134877754352,0.025974025974025976,0.015384615384615385,3.31068871011387
3,txn_min,0.0,0.0,4.0,0.0,0.0,0.0,0.000959413318181823,0.006162061670257679,0.05194805194805195,0.06153846153846154,0.41206079884749525
4,txn_median,0.075581394135952,0.109375,69.0,29.0,0.002780271903856344,0.0025614217036217793,0.008170288204051279,0.018236105124269722,0.07792207792207792,0.07692307692307693,9.83715496359169
5,txn_count,0.09302325546741486,0.109375,52.0,29.0,0.24608333537320623,0.17372340428244298,0.0791248262758808,0.05539735401626283,0.05194805194805195,0.03076923076923077,8.18394444581325
6,txn_sum,0.023255813866853714,0.015625,31.0,14.0,0.0,0.0017680403169330664,0.012219429520741855,0.016965555244624893,0.05194805194805195,0.06153846153846154,4.518332035243566
7,CR,0.14534883201122284,0.234375,94.0,53.0,0.3424938861932326,0.510946030147611,0.1665247124187098,0.12918957518274457,0.15584415584415584,0.18461538461538463,14.886933757641307
8,DR,0.04651162773370743,0.046875,23.0,16.0,0.011475494355827742,0.0009971971139883275,0.026517843823062853,0.039818878475792824,0.03896103896103896,0.046153846153846156,3.925731092661727
9,h0,0.0058139534667134285,0.0,10.0,10.0,0.0,0.0,0.006349048969668944,0.016003242041621915,0.025974025974025976,0.03076923076923077,2.008490950122126
10,h2,0.023255813866853714,0.0,13.0,9.0,0.0,0.001153775565358535,0.019327907794415268,0.04351436416590451,0.012987012987012988,0.015384615384615385,2.2115623489764156
11,h3,0.04651162773370743,0.03125,26.0,18.0,0.0,0.0,0.06200781779252955,0.0776273421764184,0.025974025974025976,0.015384615384615385,4.425875542906129
12,h4,0.03488372266292572,0.0,23.0,10.0,0.09610043529666967,0.0,0.01686936761948275,0.04387803022276645,0.025974025974025976,0.03076923076923077,3.3248474812545097
13,h5,0.011627906933426857,0.03125,26.0,9.0,0.00997312030532134,0.0,0.04160709439707072,0.033306816430560465,0.0,0.0,3.512776493806638
14,h6,0.029069768264889717,0.03125,25.0,17.0,0.0,0.0,0.06381699434918311,0.05497599381968671,0.025974025974025976,0.03076923076923077,4.223585601317701
15,h7,0.040697675198316574,0.03125,33.0,14.0,0.0,0.0,0.018478567192278635,0.053863652420119444,0.03896103896103896,0.03076923076923077,4.721402016454098
16,weekend,0.011627906933426857,0.0,24.0,6.0,0.0019367161739722364,0.0,0.05932082696208554,0.045040185940668845,0.03896103896103896,0.046153846153846156,3.0203040521125035
17,weekday,0.04651162773370743,0.0625,45.0,19.0,0.2725008538510111,0.26920982853017994,0.12757651712874946,0.10021335333552213,0.1038961038961039,0.07692307692307693,6.505933136139835
18,holidays,0.0058139534667134285,0.015625,37.0,12.0,0.0,0.0,0.08529107860815344,0.04577031788394012,0.03896103896103896,0.046153846153846156,4.92376152350737
19,date,0.029069768264889717,0.0,24.0,5.0,0.0,0.0,0.13899975793550326,0.08041387781368099,0.07792207792207792,0.06153846153846154,2.9387943943474615
20,txn_cr_count,0.04651162773370743,0.125,41.0,20.0,0.0017366692040394177,0.006965678830140422,0.007770471565322503,0.018877312201875662,0.025974025974025976,0.03076923076923077,6.126360501627834
21,txn_cr_sum,0.04651162773370743,0.0625,41.0,30.0,0.0020792457934787423,0.0,0.0023493444652714175,0.009713451059419533,0.0,0.0,7.112315366905188
22,automobile,0.023255813866853714,0.0,7.0,4.0,0.0,0.0,0.0028201289654909943,0.010306944220286354,0.025974025974025976,0.03076923076923077,1.1093126143795888
23,misc,0.01744186133146286,0.0,15.0,5.0,0.0,0.0,0.0033875771512910974,0.010867032519692503,0.0,0.0,2.0031696471002447
24,business,0.11627907305955887,0.046875,57.0,50.0,0.011202808670363015,0.026561261741116733,0.009133501345211013,0.021790101249580213,0.03896103896103896,0.046153846153846156,10.73169566311807
25,entertain,0.0,0.0,0.0,0.0,0.0,0.0,0.0006151177446616976,0.0042501833837001925,0.0,0.0,0.00048653011283618906
